Num Est,Año Est,Sexo,Depart Code,Depart Name,Prog Code,Prog Name,GPA,Muni,Año Cred,Prog Type
841-03-2781,más de 10,F,EF,Educación Física,EFEE,Educación Física Especial y E;emental,246,SAN JUAN,CUA,Bachillerato
841-05-0008,más de 10,M,AE,Administración de Empresas,CONT,Contabilidad,329,DORADO,6TO,Bachillerato
841-05-8161,más de 10,F,CN,Biología,BIOG,Biología General,273,SAN JUAN,CUA,Bachillerato
841-07-2709,más de 10,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,209,BAYAMON,CUA,Bachillerato
841-07-5499,más de 10,F,AE,Administración de Empresas,CONT,Contabilidad,372,TOA BAJA,6TO,Bachillerato
841-08-0977,más de 10,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,298,BAYAMON,CUA,Bachillerato
841-08-7429,más de 10,M,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,305,BAYAMON,CUA,Bachillerato
841-09-1083,más de 10,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,216,CAGUAS,CUA,Bachillerato
841-09-3015,más de 10,M,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,271,TOA BAJA,CUA,Bachillerato
841-09-3919,más de 10,M,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,286,SAN JUAN,6TO,Bachillerato
841-09-4484,más de 10,F,CN,Biología,BIOG,Biología General,276,GUAYNABO,CUA,Bachillerato
841-10-1400,más de 10,F,AE,Administración de Empresas,MERC,Mercadeo,297,TOA ALTA,CNB,Bachillerato
841-10-5262,más de 10,F,AE,Administración de Empresas,GERE,Gerencia,259,DORADO,CNB,Bachillerato
841-11-0820,más de 10,F,AE,Administración de Empresas,CONT,Contabilidad,303,BAYAMON,CNB,Bachillerato
841-11-4260,más de 10,F,CN,Biología,BHUM,Biología Enfoque Humano,389,GUAYNABO,CUA,Bachillerato
841-11-4660,más de 10,F,CN,Biología,BIOG,Biología General,248,SAN JUAN,CUA,Bachillerato
