Num Est,Año Est,Sexo,Depart Code,Depart Name,Prog Code,Prog Name,GPA,Muni,Año Cred,Prog Type,dropout
841-07-2709,más de 10,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,209,BAYAMON,CUA,Bachillerato,Y
841-07-5499,más de 10,F,AE,Administración de Empresas,CONT,Contabilidad,372,TOA BAJA,6TO,Bachillerato,Y
841-08-0977,más de 10,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,298,BAYAMON,CUA,Bachillerato,Y
841-09-3015,más de 10,M,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,271,TOA BAJA,CUA,Bachillerato,Y
841-11-4260,más de 10,F,CN,Biología,BHUM,Biología Enfoque Humano,389,GUAYNABO,CUA,Bachillerato,Y
841-11-5164,más de 10,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,308,GUAYNABO,CUA,Bachillerato,Y
841-11-5180,más de 10,M,CN,Biología,BHUM,Biología Enfoque Humano,236,TOA BAJA,CUA,Bachillerato,Y
841-11-5860,más de 10,F,SO,Sistemas de Oficina,SOFI,Sistemas de Oficina,153,SAN LORENZO,SEG,Bachillerato,Y
841-11-7255,más de 10,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,244,TOA ALTA,CUA,Bachillerato,Y
841-12-3069,10,M,CN,Biología,BHUM,Biología Enfoque Humano,224,SAN JUAN,CUA,Bachillerato,Y
841-12-6813,10,M,CC,Ciencias de Computadoras,SINF,Sistemas de Información,299,BAYAMON,CUA,Bachillerato,Y
841-12-7218,10,M,AE,Administración de Empresas,CONT,Contabilidad,227,TOA ALTA,CNB,Bachillerato,Y
841-13-0970,9,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,280,VEGA BAJA,CUA,Bachillerato,Y
841-13-2350,9,M,TI,Ingeniería,GEMA,Gerencia de Materiales,246,TOA ALTA,CUA,Bachillerato,Y
841-13-3940,9,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,284,TOA BAJA,CUA,Bachillerato,Y
841-13-5095,9,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,265,CAROLINA,CUA,Bachillerato,Y
841-13-6360,9,F,CN,Biología,BIOG,Biología General,270,DORADO,CUA,Bachillerato,Y
841-13-6440,9,F,EF,Educación Física,EFEE,Educación Física Especial y E;emental,293,YAUCO,CUA,Bachillerato,Y
841-13-6750,9,F,CN,Biología,BIOG,Biología General,274,VEGA BAJA,CUA,Bachillerato,Y
841-13-7720,9,M,CC,Ciencias de Computadoras,SINF,Sistemas de Información,230,TOA ALTA,SEG,Bachillerato,Y
841-14-0750,8,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,285,CAYEY,CUA,Bachillerato,Y
841-14-1273,8,F,AE,Administración de Empresas,CONT,Contabilidad,256,BAYAMON,CUA,Bachillerato,Y
841-14-3957,8,M,CN,Biología,BHUM,Biología Enfoque Humano,288,BAYAMON,CUA,Bachillerato,Y
841-14-4390,8,M,CC,Ciencias de Computadoras,CCOM,Ciencias de Cómputos,255,VEGA BAJA,CUA,Bachillerato,Y
841-14-5480,8,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,237,BARRANQUITAS,CUA,Bachillerato,Y
841-14-5874,8,M,CN,Biología,BIOG,Biología General,282,CAROLINA,CUA,Bachillerato,Y
841-14-6365,8,F,CN,Biología,BHUM,Biología Enfoque Humano,338,TOA ALTA,6TO,Bachillerato,Y
841-14-7140,8,F,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,275,SAN LORENZO,CUA,Bachillerato,Y
841-14-7520,8,M,TI,Ingeniería,GEMA,Gerencia de Materiales,294,CAGUAS,CUA,Bachillerato,Y
841-14-8330,8,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,275,BAYAMON,CUA,Bachillerato,Y
841-14-8530,8,F,AE,Administración de Empresas,MERC,Mercadeo,266,BAYAMON,CUA,Bachillerato,Y
841-15-0087,7,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,339,SAN JUAN,CUA,Bachillerato,Y
841-15-0790,7,F,CN,Biología,BIOG,Biología General,282,TOA ALTA,TER,Bachillerato,Y
841-15-1650,7,F,CN,Biología,BIOG,Biología General,269,MOROVIS,CUA,Bachillerato,Y
841-15-1716,7,F,AE,Administración de Empresas,GERE,Gerencia,303,BAYAMON,TNB,Bachillerato,Y
841-15-2320,7,M,CC,Ciencias de Computadoras,CCOM,Ciencias de Cómputos,327,BAYAMON,CUA,Bachillerato,Y
841-15-2810,7,M,CC,Ciencias de Computadoras,CCOM,Ciencias de Cómputos,191,SAN JUAN,SEG,Bachillerato,Y
841-15-3750,7,M,CC,Ciencias de Computadoras,SINF,Sistemas de Información,310,JUNCOS,CUA,Bachillerato,Y
841-15-4330,7,M,AE,Administración de Empresas,MERC,Mercadeo,249,BAYAMON,CUA,Bachillerato,Y
841-15-4740,7,F,ED,Pedagogía,ESCO,Educación Preescolar y Elemental,302,GUAYNABO,CUA,Bachillerato,Y
841-15-5662,7,M,EL,Electrónica,TIEL,Tecnología de la Ingeniería Electrónica,229,BAYAMON,TER,Bachillerato,Y
